,price,carat,depth,table,x,y,z,city,cut,color,clarity
0,3733,1.01,65.2,56.0,6.23,6.19,4.05,Amsterdam,Fair,H,VS2
1,9452,1.51,65.0,64.0,7.1,7.03,4.59,Amsterdam,Fair,H,VS2
2,12765,2.0,65.2,56.0,7.92,7.87,5.15,Zurich,Fair,H,VS2
3,17713,1.99,60.5,63.0,8.2,8.11,4.93,Zurich,Fair,H,VS2
4,2268,0.7,65.0,56.0,5.6,5.5,3.61,Las Vegas,Fair,H,VS2
5,2686,0.8,65.3,58.0,5.78,5.73,3.76,Las Vegas,Fair,H,VS2
6,2351,0.7,67.8,56.0,5.42,5.38,3.66,Las Vegas,Fair,H,VS2
7,3819,1.0,64.8,55.0,6.35,6.28,4.09,Las Vegas,Fair,H,VS2
8,4166,1.0,66.8,63.0,6.19,6.08,4.1,Las Vegas,Fair,H,VS2
9,1332,0.5,56.3,65.0,5.24,5.21,2.94,Paris,Fair,H,VS2
10,1981,0.7,64.9,56.0,5.49,5.51,3.57,Tel Aviv,Fair,H,VS2
11,3697,0.9,64.7,58.0,5.98,6.01,3.88,Tel Aviv,Fair,H,VS2
12,1293,0.56,52.7,70.0,5.71,5.57,2.97,Dubai,Fair,H,VS2
13,3226,0.9,65.5,57.0,6.05,6.01,3.95,Kimberly,Fair,H,VS2
14,2691,0.78,54.7,67.0,6.25,6.15,3.4,Kimberly,Fair,H,VS2
15,7534,1.51,64.9,53.0,7.28,7.24,4.71,Kimberly,Fair,H,VS2
16,7188,1.51,65.6,56.0,7.08,4.7,4.0,Surat,Fair,H,VS2
17,4861,1.0,64.8,62.0,6.22,6.13,4.0,Surat,Fair,H,VS2
18,1122,0.5,62.4,69.0,5.07,4.99,3.14,Antwerp,Fair,H,VS2
19,1832,0.71,62.1,70.0,5.67,5.6,3.5,Antwerp,Fair,H,VS2
20,3375,0.9,65.6,55.0,6.01,5.97,3.93,Madrid,Fair,H,VS2
21,10206,1.5,65.2,58.0,7.12,7.06,4.62,London,Fair,H,VS2
22,3725,0.9,64.6,54.0,6.09,6.14,3.95,London,Fair,H,VS2
23,5625,1.35,64.5,58.0,6.98,6.93,4.48,London,Fair,H,VS2
24,830,0.46,65.6,58.0,4.8,4.84,3.16,Luxembourg,Fair,H,VS2
25,9678,1.51,57.4,61.0,7.49,7.63,4.34,Luxembourg,Fair,H,VS2
26,1175,0.5,65.1,59.0,5.02,5.06,3.28,Luxembourg,Fair,H,VS2
